id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2248523,NICE ROOM FOR RENT - MID CITY L.A.,3541461,Elena,,Arlington Heights,34.047798259280086,-118.31831607919379,Private room,49,15,1,2014-03-21,0.04,3,59
8867000,"""The Peace Room""",46188385,La Donna,,Arlington Heights,34.043474346939526,-118.3151079212247,Private room,59,2,13,2016-04-13,2.05,4,336
6261398,Close to Everything! Sleeps 6. FAB!,25638454,Eli,,Arlington Heights,34.04104035859773,-118.31695071455374,Entire home/apt,89,2,19,2016-03-23,1.57,1,302
300371,Monthly Dormitory Rentals,1497543,Kellie,,Arlington Heights,34.04702550686593,-118.31343332763045,Shared room,33,30,45,2016-03-25,0.87,16,365
15154,Gorgeous Guest House -Close to all!,59281,Virginia,,Arlington Heights,34.04939201732109,-118.31645965997501,Entire home/apt,100,2,281,2016-04-12,3.77,1,3
9111410,Cute & Cozy Mid City 1BR + Parking,24336547,Ashley,,Arlington Heights,34.0515430595197,-118.32200414826934,Entire home/apt,75,5,15,2016-04-24,2.46,1,1
5909633,Quiet Oasis in Historic Square,6829,Barrett,,Arlington Heights,34.04362932117267,-118.3290346602019,Shared room,130,1,19,2016-04-09,1.50,5,324
404795,Gramercy Place-month to month dorms,1497543,Kellie,,Arlington Heights,34.04564291316496,-118.3140905196151,Shared room,33,30,19,2016-03-17,0.40,16,365
12591975,12 Bedroom House in heart of LA!,68306402,Kim,,Arlington Heights,34.048689864504496,-118.3195794188632,Entire home/apt,1300,1,0,,,3,365
2644412,"Mid-Wilshire Oasis, Mid- LA Lovely!",13538919,Samzie,,Arlington Heights,34.0492220394818,-118.32040110412065,Private room,75,1,2,2015-12-13,0.31,2,365
2430715,Charming Alcove ,12423079,Allan,,Arlington Heights,34.05146237488419,-118.31552089706629,Shared room,35,2,6,2015-01-27,0.24,1,0
404691,Gramercy Place-month to month dorms,1497543,Kellie,,Arlington Heights,34.04596697887786,-118.31378606619778,Shared room,33,30,26,2016-03-03,0.57,16,311
1641253,Spacious Private Room Mid-City / LA,6245770,Jesse,,Arlington Heights,34.04048554613339,-118.32102406055176,Private room,46,3,51,2016-03-23,1.66,3,141
7224956,"Cozy, Private Room close to Main St",27715238,Jennifer,,Alhambra,34.099345815464694,-118.1335431026507,Private room,49,1,2,2015-07-16,0.20,1,0
11617431,全新装修豪华套房，有车位，华人区中心地带,57479189,Yucheng,,Alhambra,34.09429149628557,-118.11328206832171,Private room,56,1,2,2016-04-16,1.40,1,365
8344112,Upgraded 2 bed 2 bath condo,43360468,Gina,,Alhambra,34.09253390072919,-118.13368169853209,Entire home/apt,110,2,0,,,1,0
5661821,Lovely Home w/ Great Backyard!,16911832,Tania,,Alhambra,34.07715998937853,-118.15724279164208,Entire home/apt,116,2,0,,,1,122
413586,"Los Angeles, Pvt Room w Own Bath! 2",1466173,Kelly,,Alhambra,34.074607026563136,-118.13689561439396,Private room,49,1,42,2016-04-07,0.86,23,365
9888779,Atlantic time square 3 bed2.5 bath,37362505,Linn,,Alhambra,34.06987016802946,-118.13498257848094,Entire home/apt,200,2,0,,,5,315
435885,"Los Angeles, Pvt Room w Own Bath! 3",1466173,Kelly,,Alhambra,34.07401019377487,-118.13884526016226,Private room,60,3,13,2016-03-13,0.27,23,355
4259030,California Orange Home 加州橙香客栈,18228836,Andy,,Alhambra,34.087514237617725,-118.14340654791508,Private room,65,1,14,2015-10-19,0.86,2,264
7023637,Large master bedroom w/own bathroom,32306869,Yoga,,Alhambra,34.09713333806373,-118.13157549580231,Private room,49,1,19,2016-02-14,1.91,2,288
