id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3849704,Room for 2 in AlbertaArts District,7559960,Maria And Oliver,,King,45.56210145573587,-122.66218129510516,Private room,40,1,117,2015-12-29,7.16,2,345
5249820,Trendy Alberta Arts District Apt.,7852710,Adrienne & Josh,,King,45.55626993855815,-122.65344883066405,Entire home/apt,115,2,38,2015-10-25,3.70,1,175
574910,Spacious Bedroom Near Alberta,2828004,Todd,,King,45.56416570722797,-122.66034917829815,Private room,47,2,8,2015-09-24,1.05,1,17
678642,Great Light-filled Alberta Arts Rm,2236909,Shane,,King,45.5592118973421,-122.65634299181329,Private room,42,6,60,2015-12-20,1.49,6,159
3930854,Modern Craftsman Cabin Retreat,10298524,Dreya And Jessie,,King,45.554405433104364,-122.65854185939338,Entire home/apt,110,2,39,2015-12-06,2.40,1,337
2194122,Cozy 3-BD Alberta Arts Home w/Loft,4856371,Erika And Spencer,,King,45.5603678500604,-122.65661357814635,Entire home/apt,175,2,6,2015-12-30,3.27,1,342
7240346,Private Modern Dwelling,2186477,Skye,,King,45.56236275574781,-122.66331342628764,Entire home/apt,100,2,9,2015-12-27,3.60,2,155
6438666,Walkable Williams Guest Suite,417776,Laura,,King,45.55109164295198,-122.66438919573143,Private room,79,1,28,2015-10-22,4.18,1,173
506327,Lovely Art Filled Inner-NE Bungalow,1972773,Cynthia,,King,45.56393532003258,-122.65790692816581,Private room,55,1,46,2015-12-11,1.08,2,359
8027200,Charming Urban Farmhouse,26019574,Tommy And Kara,,King,45.557206679933095,-122.65755550800175,Entire home/apt,160,2,2,2015-10-04,0.51,1,181
6052917,"Comfy, Light-filled Room With Charm",2828004,Todd,,King,45.56419296559852,-122.66031644776625,Private room,47,2,24,2015-12-01,2.81,1,81
497949,Food Lovers Dream in Inspired House,2458289,Emily And Adam,,King,45.55212041206038,-122.65893098300995,Private room,88,2,88,2015-11-07,2.08,3,365
1508371,Cozy room in Alberta Arts District,7559960,Maria And Oliver,,King,45.56030999419133,-122.66376445131246,Private room,48,1,170,2015-12-28,5.86,2,352
5092225,Light Drenched Updated  Victorian ,8551009,,,King,45.562732152475796,-122.65703522027901,Entire home/apt,140,5,0,,,1,322
9663520,"Cozy, kitsch- ‘60’s Trailer",2828004,,,King,45.563451185904164,-122.65897032368387,Entire home/apt,39,1,1,2015-12-05,1,1,334
7564968,Alberta Arts Studio,35835651,Jacob And Tien,,King,45.55816920280634,-122.65347176717714,Entire home/apt,95,3,16,2015-12-21,3.24,1,30
